analysis,species,metabolite,n,r,p,q_bh
MetaPhlAn_presence_absence,Parvimonas unclassified,C04677_AICAR,346,0.1460184659448242,0.006511044614126217,0.008177700781273174
MetaPhlAn_presence_absence,Parvimonas unclassified,C00041_Ala,346,0.27038184547985267,3.279730543568086e-07,1.4132793354136017e-06
MetaPhlAn_presence_absence,Parvimonas unclassified,C00719_Betaine,346,0.3089650928644818,4.343946451328499e-09,8.340377186550719e-08
MetaPhlAn_presence_absence,Parvimonas unclassified,C00576_Betaine aldehyde,346,-0.23937505844292598,6.727190298539774e-06,1.575146996731264e-05
MetaPhlAn_presence_absence,Parvimonas unclassified,C02256_Castanospermine,346,-0.12694875340078463,0.018156860520099224,0.02050657188152383
MetaPhlAn_presence_absence,Parvimonas unclassified,C00114_Choline,346,0.32008863279310423,1.1046515548339291e-09,3.34687178432356e-08
MetaPhlAn_presence_absence,Parvimonas unclassified,C00300_Creatine,346,0.30633579473594863,5.954947388093987e-09,9.115215503273976e-08
MetaPhlAn_presence_absence,Parvimonas unclassified,C00491_Cystine,346,0.3617660156831089,3.882594295248151e-12,3.727290523438225e-10
MetaPhlAn_presence_absence,Parvimonas unclassified,C02678_Dodecanedioate,346,-0.1730095181047307,0.0012339463725461323,0.0018509195588191983
MetaPhlAn_presence_absence,Parvimonas unclassified,C00364_dTMP,346,-0.1317003455048026,0.014222640103874574,0.016839051746379487
MetaPhlAn_presence_absence,Parvimonas unclassified,C00122_Fumarate,346,0.22232955646567354,3.0068438780886564e-05,5.77314024593022e-05
MetaPhlAn_presence_absence,Parvimonas unclassified,C00025_Glu,346,-0.21859942813499658,4.110534332912895e-05,7.737476391365448e-05
MetaPhlAn_presence_absence,Parvimonas unclassified,C00191_Glucuronate,346,0.28153487422259316,1.0039177627290303e-07,5.07242659063089e-07
MetaPhlAn_presence_absence,Parvimonas unclassified,C01425_Glu-Glu,346,0.22470891746587127,2.4563110292023966e-05,4.812364465376124e-05
MetaPhlAn_presence_absence,Parvimonas unclassified,C00037_Gly,346,0.30206953845128126,9.869496493757327e-09,9.474716634007034e-08
MetaPhlAn_presence_absence,Parvimonas unclassified,C01921_Glycocholate,346,0.15133442642219264,0.004786500977008894,0.006209514780984512
MetaPhlAn_presence_absence,Parvimonas unclassified,C02037_Gly-Gly,346,0.18270131250835414,0.0006379848201510971,0.0009878474634597632
MetaPhlAn_presence_absence,Parvimonas unclassified,C00407_Ile,346,0.26722411617098185,4.5423216328348067e-07,1.7442515070085658e-06
MetaPhlAn_presence_absence,Parvimonas unclassified,C00123_Leu,346,0.2664733988323051,4.904991259585765e-07,1.8110736958470517e-06
MetaPhlAn_presence_absence,Parvimonas unclassified,C01042_N-Acetylaspartate,346,-0.15554023980052778,0.0037266546176564284,0.005038856947817143
MetaPhlAn_presence_absence,Parvimonas unclassified,C00624_N-Acetylglutamate,346,-0.3026472453779083,9.221249580294193e-09,9.474716634007034e-08
MetaPhlAn_presence_absence,Parvimonas unclassified,C02721_N-Methylalanine,346,-0.30226825272659524,9.641694144076211e-09,9.474716634007034e-08
MetaPhlAn_presence_absence,Parvimonas unclassified,C01046_N-Methylglutamate,346,-0.18703839305002182,0.0004697484226207678,0.0007515974761932285
MetaPhlAn_presence_absence,Parvimonas unclassified,C04137_Octopine,346,0.25879633907168176,1.0616446575570345e-06,3.287673778241139e-06
MetaPhlAn_presence_absence,Parvimonas unclassified,C01005_O-Phosphoserine,346,0.18051224008739397,0.0007426671238860702,0.0011316832363978213
MetaPhlAn_presence_absence,Parvimonas unclassified,C00079_Phe,346,0.3054138545654291,6.6465113044706064e-09,9.115215503273976e-08
MetaPhlAn_presence_absence,Parvimonas unclassified,C00408_Pipecolate,346,-0.26866063276184204,3.9188444935887905e-07,1.5675377974355162e-06
MetaPhlAn_presence_absence,Parvimonas unclassified,C00042_Succinate,346,0.2360386003300922,9.099167205198777e-06,2.031441980695541e-05
MetaPhlAn_presence_absence,Parvimonas unclassified,C05122_Taurocholate,346,0.275896268349527,1.838594962536034e-07,8.405005543021869e-07
MetaPhlAn_presence_absence,Parvimonas unclassified,C00183_Val,346,0.3003480842262796,1.2073478548435808e-08,1.0536854005907615e-07
MetaPhlAn_presence_absence,Parvimonas unclassified,"C03283_2,4-Diaminobutyrate",346,-0.1693664317868895,0.0015675950598773528,0.002315217319203475
MetaPhlAn_presence_absence,Parvimonas unclassified,C02356_2AB,346,0.23071537747721302,1.4599679954310332e-05,3.0468897295951998e-05
MetaPhlAn_presence_absence,Parvimonas unclassified,C03264_2-Hydroxy-4-methylpentanoate,346,0.23270178220942753,1.2254108522508962e-05,2.6142098181352454e-05
MetaPhlAn_presence_absence,Parvimonas unclassified,2-Hydroxypentanoate,346,0.16107952060171543,0.002655313005466411,0.0038046275899220215
MetaPhlAn_presence_absence,Parvimonas unclassified,C01089_3-Hydroxybutyrate,346,0.2800657674369315,1.1768796861883226e-07,5.649022493703949e-07
MetaPhlAn_presence_absence,Parvimonas unclassified,C05584_4-Hydroxy-3-methoxymandelate,346,0.2030606682043056,0.00014285351014412114,0.0002539617958117709
MetaPhlAn_presence_absence,Parvimonas unclassified,C00431_5-Aminovalerate,346,0.28318383275370856,8.389490134587223e-08,4.4743947384465187e-07
MetaPhlAn_presence_absence,Parvimonas unclassified,C03592_5-Methyl-2'-deoxycytidine,346,-0.1509223965882541,0.004903716914281944,0.006276757650280889
