species,metabolite,partial_spearman_discovery,partial_spearman_validation,q_bh_family,q_bh_locked,motu_r,motu_p,motu_q,crc_r,crc_p,crc_q,healthy_r,healthy_p,healthy_q,presence_r,presence_p,presence_q,motu_exact,motu_concordant,crc_concordant,presence_concordant,strict_robust
Peptostreptococcus stomatis,C00647_Pyridoxamine 5'-phosphate,-0.1787202565770299,-0.2544065832378167,0.0632358904697038,0.0125463659136806,-0.23675183702878283,8.533397632628756e-06,1.3003272583053343e-05,-0.2886981911966829,0.0003560693031704323,0.001424277212681729,-0.13598435045560683,0.12740782738326842,0.1510018694912811,-0.18397800233021983,0.0005834211547082373,0.0009181709975736194,True,True,True,True,True
Peptostreptococcus stomatis,C08277_Sebacate,-0.3679011813631206,-0.1730849184157903,3.535691257325834e-05,0.0884379370866706,-0.422373271023825,2.1072518193265225e-16,5.057404366383654e-15,-0.18921994374421336,0.020822289109088926,0.03388033482156842,-0.18792473857658634,0.03436580748107395,0.04924055997288208,-0.22916700502270693,1.6717405574699926e-05,3.414619011002538e-05,True,True,True,True,True
Peptostreptococcus stomatis,C00042_Succinate,0.1753027971904856,0.3900952042394774,0.0688344274765139,0.000211166219857,0.32491530438364613,5.990984424396001e-10,2.1301277953408002e-09,0.35433950411063336,9.269163285498467e-06,9.887107504531698e-05,0.27113245026495303,0.0020474265405935094,0.005303656394971658,0.26196797155348595,7.739606213581391e-07,2.6535792732279056e-06,True,True,True,True,True
Peptostreptococcus stomatis,C05122_Taurocholate,0.280018240274747,0.3130609881847995,0.0022975741835813,0.0021751606787103,0.36744398899749214,1.682365911707421e-12,1.0094195470244526e-11,0.4066252934148267,2.6637657478035917e-07,1.2786075589457239e-05,0.2123182648737687,0.016555336088066995,0.027882671306218097,0.31998572151792826,1.1190252015894568e-09,3.34687178432356e-08,True,True,True,True,True
Peptostreptococcus stomatis,C00078_Trp,0.1807613346310865,0.1943280135190757,0.0602228064746574,0.0582234928684832,0.23525117015960118,9.765186070845147e-06,1.4422428658478988e-05,0.30249573744438274,0.0001771399634919025,0.0009124354523006474,0.2239345368500498,0.011377373101437865,0.021416231720353625,0.19831486415901903,0.00020525532978036675,0.0003518662796234859,True,True,True,True,True
Peptostreptococcus stomatis,C00183_Val,0.1930387770612461,0.2049060511575129,0.0424804312854263,0.0444780818937014,0.2792996944014341,1.278119850411121e-07,2.726655680877058e-07,0.30607476725190835,0.00014694714159102233,0.0008298191525140083,0.20653816727002858,0.019820326590449813,0.03280605780488245,0.26204921794329517,7.676780528556331e-07,2.6535792732279056e-06,True,True,True,True,True
Peptostreptococcus stomatis,"C03283_2,4-Diaminobutyrate",-0.198990422912865,-0.1757229525443334,0.0359626486046418,0.0860836326969499,-0.3489886185024372,2.401988832836432e-11,1.2136364629068288e-10,-0.2763119269635377,0.0006470874925434191,0.002389246126314163,-0.17467259229143575,0.04951567216711439,0.0653556641295131,-0.15838419622081268,0.0031355848854428972,0.004426708073566443,True,True,True,True,True
Peptostreptococcus stomatis,C03264_2-Hydroxy-4-methylpentanoate,0.3647897758506545,0.2795023487321501,3.535691257325834e-05,0.0052913572912233,0.3786729859490504,3.0640669638265044e-13,2.67409480479404e-12,0.37450927211985563,2.534130463720661e-06,4.804482193304136e-05,0.26413875196747405,0.0026932170917637597,0.006463721020233024,0.2415990966887863,5.487027517117707e-06,1.3168866041082496e-05,True,True,True,True,True
Peptostreptococcus stomatis,C05984_2-Hydroxybutyrate,0.2308530607587275,0.2746720663991198,0.014406795967429,0.0058472579503969,0.3734728358667418,6.797907564587537e-13,5.019993278464642e-12,0.3480716219969164,1.362724381922522e-05,0.00011892867333142009,0.17453545369156104,0.04969753626515059,0.0653556641295131,0.28360576142269595,8.011346643834852e-08,4.4743947384465187e-07,True,True,True,True,True
Peptostreptococcus stomatis,2-Hydroxypentanoate,0.159466012641772,0.2873021409041807,0.0996683965854185,0.0047729456665612,0.3736871259736467,6.580150614034383e-13,5.019993278464642e-12,0.3719461492781012,3.0028013708150845e-06,4.804482193304136e-05,0.09864706768491825,0.26985437496281367,0.30477670584035427,0.11237177970900629,0.0366813049146802,0.0404759226644747,True,True,True,True,True
Peptostreptococcus stomatis,C01089_3-Hydroxybutyrate,0.2353078863365991,0.2051399158119463,0.0117140515282408,0.0444780818937014,0.2912750075254894,3.418344130507573e-08,7.901793448816739e-08,0.21629941600489627,0.00806167652641755,0.016824368402958364,0.15039389609331433,0.09146714100944311,0.11257494278085307,0.25674193520929306,1.2999690734412338e-06,3.7817282136472254e-06,True,True,True,True,True
Peptostreptococcus stomatis,C00431_5-Aminovalerate,0.2265657603633351,0.2243284655214971,0.0169219442514338,0.0268622116528371,0.35396022674272193,1.1935389939092844e-11,6.365541300849517e-11,0.31922037473479353,7.245006709434149e-05,0.0004968004600754845,0.19037794562797034,0.032042051485566984,0.04806307722835047,0.28646676590912323,5.848028381670127e-08,3.508817029002076e-07,True,True,True,True,True
Gemella morbillorum,C06104_Adipate,-0.2567059061532915,-0.2310824162763397,0.006061373063166,0.0219885933949643,-0.23162279142445727,1.347970735684698e-05,1.905648651552418e-05,-0.17422579967007176,0.03358102636926258,0.05037153955389387,-0.27050092798490055,0.0020993639896762814,0.005303656394971658,-0.1515859096128563,0.004716204661154218,0.006202132157134314,True,True,True,True,True
Gemella morbillorum,C00695_Cholate,0.2146601083697998,0.2160687208971966,0.0250538944198444,0.0339331774875754,0.4059974749318045,3.661048884623967e-15,5.020867041770012e-14,0.10419873078875862,0.20599992853880456,0.23826497758705106,0.14868469144690796,0.09525404107332504,0.11575174611442031,0.19681194479521869,0.00022981973157300915,0.00038706481107033124,True,True,True,True,False
Gemella morbillorum,C00300_Creatine,0.1823316063250684,0.2505586614137663,0.0574138637038031,0.0137092244661222,0.3475405765202527,2.9379147091505645e-11,1.2269026110975977e-10,0.2653996494758782,0.0010709255159176716,0.0034269616509365487,0.09878645542252347,0.2691748674015863,0.30477670584035427,0.2929785199363103,2.8193575598453796e-08,1.8900864204707343e-07,True,True,True,True,True
