family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced,rank_biserial_discovery_ci_low,rank_biserial_discovery_ci_high,rank_biserial_validation_ci_low,rank_biserial_validation_ci_high
fecal_metabolite,C05598_Phenaceturate,0.3090909090909091,89,76,0.35214465960953245,-0.06904198698994679,0.0,61,51,0.5293064818551846,-0.049180327868852514,0.0,150,127,0.2837818070845429,-0.058267716535433056,0.0,0.6157383229429837,False,,0.4821065927174905,False,,,,
fecal_metabolite,C00041_Ala,0.9939393939393939,89,76,0.36086016531732834,0.08279124778237734,0.07430658233970505,61,51,0.27716424488720015,0.11989713918354217,0.5449254353593745,150,127,0.15249328107217963,0.09984251968503943,0.24787987807258458,0.6273092408714022,False,,0.3259588042943797,False,,,,
fecal_metabolite,C01073_N-Acetyl-beta-alanine,0.4,89,76,0.37655765665817553,0.07096392667060902,0.0,61,51,0.8164923756580625,0.02089360334297652,0.0,150,127,0.4242435281910102,0.04782152230971137,0.0,0.6508135222011242,False,,0.6127962073870148,False,,,,
fecal_metabolite,C00864_Pantothenate,0.6,89,76,0.3814799514852447,0.07672974571259616,0.2526085403420124,61,51,0.016749371288975207,0.2529733204757312,24.893056514053107,150,127,0.027220482990962573,0.14860892388451452,0.8767978309753994,0.6517857456805038,False,,0.11969006491614426,False,,,,
fecal_metabolite,C00385_Xanthine,0.15757575757575756,89,76,0.37943238811381186,0.050561797752809,0.0,61,51,0.10388064824545369,0.11732561877209902,0.0,150,127,0.07897376808466691,0.07874015748031504,0.0,0.6517857456805038,False,,0.22488720626014674,False,,,,
fecal_metabolite,C00178_Thymine,0.8121212121212121,89,76,0.3946757331516244,-0.07687758722649318,0.010548594905492713,61,51,0.5643939634172679,-0.06364513018322082,-0.41926187737874343,150,127,0.303775741088392,-0.07160104986876636,-0.16367824932527053,0.6705002512064528,False,,0.508555256108702,False,,,,
fecal_metabolite,C01198_3-(2-Hydroxyphenyl)propionate,0.18787878787878787,89,76,0.3998295842530477,0.05204021289178007,0.0,61,51,0.4984688446291281,0.045644487303117875,0.0,150,127,0.28130282203598334,0.04918635170603669,0.0,0.6754183372410241,False,,0.48062596450719436,False,,,,
fecal_metabolite,C03264_2-Hydroxy-4-methylpentanoate,0.43636363636363634,89,76,0.4076407891493401,0.06800709639266711,0.0,61,51,0.842856258183945,0.01928640308582441,0.0,150,127,0.46563549880217425,0.04545931758530175,0.0,0.6847449210991724,False,,0.6445602506567134,False,,,,
fecal_metabolite,C00380_Cytosine,0.32727272727272727,89,76,0.41153051320933953,-0.06209343583678295,0.0,61,51,0.8240917392567637,-0.022822243651558938,0.0,150,127,0.48841447970030694,-0.04230971128608929,0.0,0.6874168907798465,False,,0.6637996792290535,False,,,,
fecal_metabolite,C06524_Nornicotine,0.5818181818181818,89,76,0.4141268533775261,-0.07125960969840328,-0.391457952853616,61,51,0.09436938541854666,-0.178720668595307,-0.801316135531614,150,127,0.08172172614588608,-0.11727034120734903,-0.4064782041009733,0.6879107175548905,False,,0.22751857254631208,False,,,,
