family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced,rank_biserial_discovery_ci_low,rank_biserial_discovery_ci_high,rank_biserial_validation_ci_low,rank_biserial_validation_ci_high
microbial_species,Eubacterium eligens,0.5272727272727272,89,76,0.14226294465919218,-0.12566528681253697,-14.404143679680782,61,51,0.08064827952068657,-0.18932819029251047,-2.6311291079748984,150,127,0.03231821840158085,-0.14404199475065615,-4.680002255298593,0.5107472931207063,False,,0.21396304567926383,False,,,,
microbial_species,Megamonas unclassified,0.2606060606060606,89,76,0.14050677875499895,0.10304553518628023,0.0,61,51,0.6459535552513673,0.04018000642880093,0.0,150,127,0.16079291324977874,0.07622047244094499,0.0,0.5107472931207063,False,,0.4514570256628403,False,,,,
microbial_species,Ruminococcus lactaris,0.2,89,76,0.1468594661964701,-0.09180958013010054,0.0,61,51,0.0497173080397817,-0.16232722597235616,0.0,150,127,0.015694680120483334,-0.12146981627296582,0.0,0.5113049605022753,False,,0.18229786046179072,False,,,,
microbial_species,Haemophilus parainfluenzae,0.8121212121212121,89,76,0.14942245421071057,-0.13010053222945006,-1.1837559331585594,61,51,0.07991375668812238,-0.19254259080681457,-1.9118346123634253,150,127,0.026723153770295653,-0.1541207349081365,-1.437103066813113,0.5113049605022753,False,,0.20901323841766956,False,,,,
microbial_species,Alistipes putredinis,0.6484848484848484,89,76,0.148277501998139,0.1280307510348906,2.4590241886335575,61,51,0.9614505621825672,-0.005464480874316946,-2.6434785996240735,150,127,0.2648035023079627,0.07580052493438316,0.5704572010484404,0.5113049605022753,False,,0.5799196700544382,False,,,,
microbial_species,Alistipes shahii,0.6303030303030303,89,76,0.1524580108316248,0.12625665286812526,1.2355985303310184,61,51,0.03654056068722959,0.22115075538412077,17.273221917748824,150,127,0.015815796113123396,0.1631496062992126,3.385035191725945,0.5136662211096281,False,,0.18229786046179072,False,,,,
microbial_species,Bacteroides ovatus,0.9090909090909091,89,76,0.15723385215349076,0.1280307510348906,0.7151576758839926,61,51,0.7434424588253181,0.03632272581163609,0.023067705112086088,150,127,0.2524402636958729,0.07984251968503941,0.33733967391699377,0.5217305094184012,False,,0.5769485981932402,False,,,,
microbial_species,Megamonas rupellensis,0.18181818181818182,89,76,0.16080093521653271,0.08545239503252522,0.0,61,51,0.8975900430846032,0.009964641594342627,0.0,150,127,0.24459186759412677,0.054908136482939573,0.0,0.525603056901801,False,,0.569847010671423,False,,,,
microbial_species,Prevotella stercorea,0.23030303030303031,89,76,0.17081801966445553,0.0915138971023064,0.0,61,51,0.024605822701754466,0.1883638701382193,0.0,150,127,0.012606608282259357,0.1300262467191602,0.0,0.5268893845988136,False,,0.18229786046179072,False,,,,
microbial_species,Bacteroides cellulosilyticus,0.509090909090909,89,76,0.16906572967551448,0.11694263749260791,12.313733350263819,61,51,0.09757286431262292,0.1565413050466089,0.0,150,127,0.035818634863215765,0.1335433070866141,0.0,0.5268893845988136,False,,0.21396304567926383,False,,,,
