family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced
microbial_KO,K11211,0.3878787878787879,89,76,0.18064840605852728,-0.10644589000591365,0.0,61,51,0.13249980479305468,-0.1375763420122147,0.0,150,127,0.0460227181904073,-0.1196850393700788,0.0,0.7301792732990354,False,,0.44023382768748853,False
microbial_KO,K10555,0.9333333333333333,89,76,0.18059884925310754,0.12123004139562399,0.4357496453948667,61,51,0.261839274653905,0.12375441980070723,0.1581804372835344,150,127,0.07840497232248184,0.12278215223097111,0.2601121470836123,0.7301792732990354,False,,0.5331745538490464,False
microbial_KO,K03292,1.0,89,76,0.18066291298120463,-0.12123004139562388,-0.05351517247731512,61,51,0.4200872043673215,-0.08903889424622313,-0.14115314924160433,150,127,0.11277900053442827,-0.11065616797900257,-0.07178347711487304,0.7301792732990354,False,,0.5916123200873377,False
microbial_KO,K09862,0.9272727272727272,89,76,0.18111246103010303,0.12108219988172686,0.2429388665112566,61,51,0.8861380773419864,-0.016072002571520416,-0.1030830129869358,150,127,0.3788250935020898,0.06141732283464574,0.05411428344555098,0.73142118001238,False,,0.8254883936151197,False
microbial_KO,K19575,0.11515151515151516,89,76,0.1815697400468187,0.06712004730928434,0.0,61,51,0.08674859293620063,0.07939569270331082,0.0,150,127,0.0414021765619547,0.07202099737532808,0.0,0.7315969278480191,False,,0.4240011747111735,False
microbial_KO,K03305,1.0,89,76,0.18172990610647366,0.12093435836782973,0.07060566523670538,61,51,0.1847550257599424,0.14625522340083585,0.1494982586790934,150,127,0.04717480667259764,0.13847769028871393,0.11387464214933184,0.7315969278480191,False,,0.44095578382513534,False
microbial_KO,K02407,0.9939393939393939,89,76,0.18172990610647366,-0.12093435836782973,-0.4926654523168592,61,51,0.21333025185512955,-0.13725490196078427,-0.29650040312207043,150,127,0.05659155693548704,-0.1330183727034121,-0.3780583089812611,0.7315969278480191,False,,0.47088841440115214,False
microbial_KO,K06907,0.9939393939393939,89,76,0.18172990610647366,0.12093435836782973,0.31640962084893043,61,51,0.25948489628384075,0.12439729990356807,0.2367106523918164,150,127,0.09699809694750651,0.1158005249343832,0.3140688261415955,0.7315969278480191,False,,0.5745014013907039,False
microbial_KO,K03893,0.49696969696969695,89,76,0.18186751094918663,0.1129509166173861,0.4956148440769072,61,51,0.7417827922369238,-0.034715525554484095,0.182841949601598,150,127,0.45907797887010937,0.04860892388451443,0.6272973002845686,0.7315969278480191,False,,0.8650091093857831,False
microbial_KO,K06077,0.8,89,76,0.18212119510139557,0.12034299231224121,0.32508959492954304,61,51,0.3060465412936543,-0.11186113789778207,-0.3618533678134782,150,127,0.7787959710669332,0.01952755905511805,-0.06366713191791808,0.7320446161190576,False,,0.978361083729201,False
