species,metabolite,n_all,beta_joint_all,se_joint_all,p_joint_all,n_crc,beta_joint_crc,se_joint_crc,p_joint_crc,n_healthy,beta_joint_healthy,se_joint_healthy,p_joint_healthy,primary_discovery_r,primary_validation_r,crc_univariable_r,motu_r,presence_r,q_joint_all,q_joint_crc,q_joint_healthy,joint_all_concordant,joint_crc_concordant,independent_crc_candidate,healthy_same_direction,crc_preferential_exploratory
Gemella morbillorum,C00300_Creatine,346,0.10041390486201918,0.08299089390534736,0.2276067476552134,149,0.1545675583507075,0.1365659155400333,0.2622148573107662,127,-0.15944573279919394,0.12346170221274459,0.2010492326790875,0.1823316063250684,0.2505586614137663,0.2653996494758782,0.3475405765202527,0.2929785199363103,0.2686505873963175,0.5721051432234899,0.39123093926741354,True,True,False,False,False
Gemella morbillorum,C00122_Fumarate,346,0.1400156702249027,0.06292191733464476,0.02708555872653726,149,0.12260535514619314,0.11133851658194723,0.27521014635916546,127,-0.06473180245646226,0.0968878922923777,0.5063929617425509,0.2152636343345106,0.3139181366226398,0.1572004260260208,0.1954195919701025,0.2607653098685408,0.08785602431030304,0.5827979569958799,0.713788320799689,True,True,False,False,False
Peptostreptococcus stomatis,C00803_Valerate,346,-0.06635008083972949,0.10571817077814584,0.5309114450532286,149,-0.18301626277818017,0.18226801504428636,0.31936030917634883,127,-0.01800005663261206,0.18049213692178773,0.9208628538254393,-0.1993473619795818,-0.2443988490000632,-0.2114734510640685,-0.2059649045431814,-0.1312291214411747,0.5539945513598907,0.6569697788770605,0.9760906624780601,True,True,False,True,False
Parvimonas unclassified,C00576_Betaine aldehyde,346,-0.16356257932727686,0.08358149203597529,0.05162726188160818,149,-0.1659898018254793,0.16887435943335818,0.32959436349341154,127,-0.4449852734502604,0.1154385221134442,0.0002651195681997161,-0.3426368335557652,-0.2859379053327465,-0.2065864561845032,-0.3012818052242257,-0.2393750584429259,0.10502894852970886,0.6591887269868231,0.0023860761137974446,True,True,False,True,False
Gemella morbillorum,C02678_Dodecanedioate,346,-0.15803731522348333,0.0814744570538386,0.05369846689570441,149,-0.14990494594866777,0.1567927906019613,0.3428730858561094,127,0.09619211172988756,0.13998756934663778,0.49439729959205725,-0.2101498344248384,-0.2791396750352345,-0.2173657219061988,-0.444479136982053,-0.195674340155706,0.10502894852970886,0.6672124913956724,0.7119321114125624,True,True,False,False,False
Peptostreptococcus stomatis,C02678_Dodecanedioate,346,-0.10621822556341676,0.09707472867506795,0.27507353457700645,149,-0.17663147311164407,0.19029251287986446,0.3570176225545416,127,0.11385553219003075,0.17549878212674794,0.5187484743752131,-0.2258405586617839,-0.2361378640478569,-0.2267782774309141,-0.4172950447331265,-0.1690469899097421,0.30469683830068406,0.676454442734921,0.713788320799689,True,True,False,False,False
Fusobacterium nucleatum,C00294_Inosine,346,-0.2817842337325238,0.08509580352692872,0.0010857946466420016,149,-0.11202608671474379,0.14947045927658234,0.45649266249932385,127,-0.27558905033399184,0.17278164979996938,0.11548709942726221,-0.2393222545883513,-0.2776012232949531,-0.1706522181270115,-0.1892428058088623,-0.1458890974338413,0.01954430363955603,0.6847389937489857,0.2682281018955768,True,True,False,True,False
Parvimonas unclassified,C00624_N-Acetylglutamate,346,-0.19496163950624268,0.0892757820719528,0.0300379998638347,149,-0.1559629363070245,0.2079970687616388,0.45628583917728616,127,-0.53223820550883,0.1272247632727394,8.658447749193775e-05,-0.3269450781280779,-0.3732017735591673,-0.2301767753664598,-0.42112423135138,-0.3026472453779083,0.08785602431030304,0.6847389937489857,0.0008905831970599311,True,True,False,True,False
Peptostreptococcus stomatis,C02721_N-Methylalanine,346,-0.19438492797991924,0.09318296441999775,0.03813140145990761,149,-0.13584994473290957,0.17378382993401328,0.43745426573190815,127,0.03627521189031535,0.1620286808236801,0.8235411481237697,-0.193704908633688,-0.3449923061699921,-0.2636920859270654,-0.2577872991714521,-0.2563712732146016,0.09151536350377826,0.6847389937489857,0.9563703655630874,True,True,False,False,False
Parvimonas unclassified,C04677_AICAR,346,0.12251204154443651,0.06925128026068582,0.07826998611422596,149,0.14124278442820087,0.16044086423671125,0.3821868621227982,127,0.1772807635772825,0.11093459968573091,0.1148053929179955,0.1603497614260002,0.1743132803675646,0.2252809580099926,0.061636714915859,0.1460184659448242,0.1372084170096136,0.6847389937489857,0.2682281018955768,True,True,False,True,False
Parvimonas unclassified,C01042_N-Acetylaspartate,346,-0.15698883231430755,0.08926803713904709,0.08003824325560793,149,-0.1667961400595943,0.19675535585577447,0.39995542249724936,127,-0.23773683688572378,0.14609678224249942,0.10844801551214377,-0.1939345623502841,-0.3250646814181243,-0.2264291892839629,-0.2587428770201697,-0.1555402398005277,0.1372084170096136,0.6847389937489857,0.2682281018955768,True,True,False,True,False
Parvimonas unclassified,2-Hydroxypentanoate,346,0.12559080203095085,0.08663237361384017,0.14857321135439086,149,-0.14628804215900715,0.191171059945352,0.4471397662112164,127,0.38649586987451845,0.12290322446105639,0.0024923457627786167,0.1916878648379572,0.3020698321891336,0.2261882714990827,0.2683143660582278,0.1610795206017154,0.21831165750032944,0.6847389937489857,0.011215555932503776,True,False,False,True,False
Peptostreptococcus stomatis,C00624_N-Acetylglutamate,346,-0.12639351493172968,0.09747348942767178,0.1961002817450811,149,-0.15714867708586677,0.19977360408597541,0.43459230021037765,127,0.2149596105539875,0.15346431625589105,0.16598380203863833,-0.2950551759343765,-0.2812453968691802,-0.2380827986173,-0.439222810581331,-0.2388902337091708,0.25470097952026394,0.6847389937489857,0.35149511019946944,True,True,False,False,False
Gemella morbillorum,C05122_Taurocholate,346,0.0921521170486218,0.07375894040059239,0.2128638727795838,149,0.10293226581006465,0.1228881288551873,0.4055742305818759,127,-0.16589478498793042,0.10963434864223849,0.1350120841560203,0.1955798356957311,0.2078694015593336,0.2663702609768537,0.3719046244048963,0.2700744885613199,0.25976608203610224,0.6847389937489857,0.3037771893510457,True,True,False,False,False
Peptostreptococcus stomatis,C01042_N-Acetylaspartate,346,-0.041066148068782615,0.09746503331988776,0.6739183374912336,149,-0.14598477755921557,0.18897634854446593,0.4428490569077984,127,0.16001100275083724,0.17622860689444944,0.36719541654460774,-0.1731217379411796,-0.310404284714449,-0.2450564448474866,-0.2372872688853798,-0.1314848552852227,0.6834101450615327,0.6847389937489857,0.5805489994308757,True,True,False,False,False
