pseudocount,genus,PRJNA784025_discovery_estimate,PRJNA784025_discovery_se,PRJNA784025_discovery_p,PRJNA784025_discovery_hcc_n,PRJNA784025_discovery_cirrhosis_n,PRJNA784025_validation_estimate,PRJNA784025_validation_se,PRJNA784025_validation_p,PRJNA784025_validation_hcc_n,PRJNA784025_validation_cirrhosis_n,PRJEB54571_external_estimate,PRJEB54571_external_se,PRJEB54571_external_p,PRJEB54571_external_hcc_n,PRJEB54571_external_cirrhosis_n,age_adjusted_estimate,age_adjusted_se_hc3,age_adjusted_p_hc3,age_adjusted_n,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent,three_cohort_direction_concordant,discovery_q,selected_in_discovery_q_lt_0_10,locked_validation_pass,external_age_adjusted_pass
1.0,Coprococcus,0.8498686885039015,0.24552623488820086,0.0008596975773893689,30,59,0.633957498671087,0.28508392545599154,0.030559347714459846,25,40,0.004861942669269079,0.7427750811016285,0.994892160764163,95,10,-0.027990851969613373,0.8191081903937893,0.9727397149682362,104,0.7134674038345111,0.1804655778461321,0.35975487125609223,1.06717993641293,7.702207813052134e-05,0.1804655778461321,-0.06301330730134069,1.489948114970363,0.05842837205652169,2,0.6482641349367273,0.0,1.2965282698734546,0.5229527647629706,0.0,True,0.0003493288362224637,True,True,False
1.0,DTU089,-0.4612349458302236,0.10658647098030635,4.14070978371444e-05,30,59,-0.1252989973241645,0.14866764253196846,0.40530863273571105,25,40,0.034259951306650605,0.3490484069922759,0.9232003436560816,95,10,0.3097774645811245,0.4074419678239428,0.44707625513486837,104,-0.26248848064338937,0.14805309777722578,-0.5526725522867519,0.027695590999973152,0.07623952104349736,0.14805309777722578,-0.8995095459345397,0.37453258464776096,0.21824273955077292,2,0.8743207068767042,0.03480094181129503,4.497446616841168,0.10553387279818512,55.53032263883274,False,,False,False,False
1.0,Desulfovibrio,0.3924682128704682,0.2729524834838762,0.15651357770672247,30,59,1.3358523281007004,0.3405139646580904,0.00023500084170488154,25,40,-0.23955427372888227,0.5712816309945733,0.6830247266464025,95,10,-0.3915276232622236,0.615551865548113,0.5247376294006206,104,0.5727037338916529,0.41632173395364397,-0.24328686465748928,1.388694332440795,0.16893690800445127,0.4394235889718849,-1.317983370691103,2.463390838474409,0.3223156358871083,2,1.1140599615350335,0.367722669886912,7.368852484742679,0.025111578550627175,72.85873201911654,False,0.05764669748510554,True,True,False
1.0,Dialister,1.632619647868491,0.3583794326744846,2.235892217548023e-05,30,59,-0.771288743904005,0.4013742119755074,0.06081997735143046,25,40,0.34725042434353265,0.8869493797989064,0.7023999201555094,95,10,0.4725748842138838,0.9670059482607083,0.6250547794267725,104,0.4137065068473018,0.8951006016378065,-1.340690672362799,2.1681036860574023,0.6439451060244317,0.8951006016378065,-3.437600540142265,4.2650135538368685,0.6893516785697932,2,0.6505851006980009,2.079494570496622,20.01457111199101,4.5070368010050616e-05,90.0072802519272,False,1.872210614720233e-05,True,False,False
1.0,Dorea,-1.084312839978032,0.18716216490986995,1.1287846189884449e-07,30,59,-1.1496682574932953,0.2109848250262918,1.1062086265534656e-06,25,40,0.07931766755186076,0.8603656862196284,0.9282087792712408,95,10,-0.0800803805484257,0.8994067969951586,0.9290525956438994,104,-1.0823303703671845,0.13819393725178267,-1.3531904873806786,-0.8114702533536905,4.8029522135216605e-15,0.13819393725178267,-1.6769308917110246,-0.4877298490233445,0.01591452039736637,2,0.9624798307214535,0.0,1.924959661442907,0.381944552772336,0.0,False,2.3569185613599178e-05,True,True,False
1.0,Eggerthella,-1.8858453004180138,0.2708537345231473,7.031382928381879e-10,30,59,-2.253071047380438,0.274920968343285,3.660571208401339e-11,25,40,-0.32520246369301353,0.6054239471235386,0.6021499298852728,95,10,-0.15509351300131274,0.6794935686573502,0.8194529156012191,104,-1.663620761461191,0.41500143370006815,-2.4770235715133246,-0.8502179514090575,6.105110710527491e-05,0.5331268710382202,-3.957480548408152,0.6302390254857702,0.08917291480673274,2,1.6502963960787622,0.37431203828860704,8.41691768083425,0.014869266601328606,76.23833241764855,True,4.7597763134830315e-08,True,True,False
1.0,Eisenbergiella,-1.0620054915645936,0.16749780647448953,9.884126617377048e-09,30,59,-1.0862055675336966,0.3014234561695217,0.0006278314395415676,25,40,0.4696759568876887,0.25509775407100865,0.07352810511169057,95,10,0.49624906823826287,0.2839700423599604,0.08054367585401905,104,-0.5622533795400472,0.5061222420921834,-1.5542529740407267,0.42974621496063226,0.2666095406101646,0.5137032802279391,-2.7725402004666515,1.6480334413865574,0.3879544353978054,2,1.0301817009231482,0.7080205544215913,27.325951674228943,1.1647829036447786e-06,92.68095024157495,False,2.753919408116223e-06,True,True,False
1.0,Enterococcus,-2.7703802691996,0.4687743282430513,9.149948708431757e-08,30,59,-2.2093294225539117,0.5626172438754787,0.0002852580025401326,25,40,-0.05708142901878066,0.7567425727691905,0.9412328431826694,95,10,0.12664918379474976,0.8020062483321853,0.8745234174050254,104,-1.7813303303843342,0.7320759139916163,-3.216199121807902,-0.34646153896076615,0.014963591687649483,0.8039258576427467,-5.24034411624421,1.6776834554755418,0.15705707919150547,2,1.2059235002725286,1.2512728062832374,9.367713355940651,0.009243296637855662,78.65007260569438,True,2.409957095456346e-06,True,True,False
1.0,Escherichia-Shigella,-0.3124689545169921,0.303998218505234,0.3068641018745371,30,59,-0.765727862952208,0.3303967858524139,0.024422543258027285,25,40,-3.9061326680923623,0.6067824529313961,5.392499720981703e-06,95,10,-3.9672973175412274,0.6292325771365572,2.882355402854204e-10,104,-1.571250188543069,0.8442286147626653,-3.225938273477893,0.08343789639175503,0.06272063874138968,1.1062807279705333,-6.331191982555719,3.1886916054695806,0.291376584288253,2,1.7171591842200153,1.955380824189347,28.430008178965938,6.706596279978646e-07,92.9651796530973,True,0.7628120178006641,False,False,False
1.0,Faecalibacterium,0.4095015461809819,0.17480178673892385,0.02151066837798061,30,59,-0.2732239759643367,0.20558575542694515,0.18966040916156496,25,40,-0.5652128717381704,0.69744357925665,0.4341891062596982,95,10,-0.5783394460744469,0.7697580194215813,0.45245630386415125,104,-0.011005732067108817,0.30198304348726207,-0.6028924973021426,0.5808810331679248,0.9709276386744563,0.30198304348726207,-1.3103338984495256,1.288322434315308,0.9742381398995175,2,0.8196128134849784,0.17529197412638586,7.340343517777303,0.025472094512286853,72.75331876285797,False,0.004842813084556181,True,False,False
