genus,PRJNA784025_discovery_estimate,PRJNA784025_discovery_se,PRJNA784025_discovery_p,PRJNA784025_discovery_hcc_n,PRJNA784025_discovery_cirrhosis_n,PRJNA784025_validation_estimate,PRJNA784025_validation_se,PRJNA784025_validation_p,PRJNA784025_validation_hcc_n,PRJNA784025_validation_cirrhosis_n,PRJEB54571_external_estimate,PRJEB54571_external_se,PRJEB54571_external_p,PRJEB54571_external_hcc_n,PRJEB54571_external_cirrhosis_n,age_adjusted_estimate,age_adjusted_se_hc3,age_adjusted_p_hc3,age_adjusted_n,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent,three_cohort_direction_concordant,selected_in_discovery_q_lt_0_10,locked_validation_pass,external_age_adjusted_pass
Coprococcus,0.9082522713878732,0.26168869355091856,0.0008228294742341547,30,59,0.5815326663726437,0.289614515879465,0.049893347538713696,25,40,0.01181120408321086,0.8378269114366579,0.9889994519284095,95,10,-0.019713639236525693,0.9232530847765332,0.9829645700560559,104,0.7231930243050085,0.18915298299538472,0.3524531776340545,1.0939328709759626,0.00013166490912673736,0.18915298299538472,-0.09066657431025138,1.5370526229202683,0.06210494294706791,2,0.7301412990488927,0.0,1.4602825980977854,0.48184090161878124,0.0,True,True,True,False
DTU089,-0.5312334635700178,0.1321918510031998,0.00013224366822304294,30,59,-0.01886678855467938,0.19043697505673327,0.9216961222556902,25,40,0.0312765063113396,0.4135856536111311,0.9408251676363935,95,10,0.3457253304255042,0.4782386504603115,0.46973283140532707,104,-0.239461961739055,0.2108194413640805,-0.6526680668126528,0.17374414333454277,0.2560139876767151,0.2108194413640805,-1.1465448065972317,0.6676208831191217,0.37379610525440765,2,0.7798597593908904,0.08178913089944892,5.742145210416421,0.05663814361978466,65.16981151274369,False,False,False,False
Desulfovibrio,0.48025583674911787,0.3166885393675991,0.1353757629829653,30,59,1.5304674235280147,0.38969620331883914,0.00022510083895785688,25,40,-0.25479286953683133,0.6506954986811857,0.7028004399210932,95,10,-0.4292220504170088,0.7017336519517121,0.5407630667934193,104,0.6743250500522682,0.46961510188808,-0.2461205496483686,1.5947706497529048,0.1510279349618173,0.4964260701058702,-1.4616239355810827,2.810274035685619,0.30727859123946355,2,1.1174421585782979,0.4623572782514826,7.120736410310452,0.028428355319876933,71.91301735163086,False,True,True,False
Dialister,1.6283187233343988,0.36353003434244824,2.8615311204381295e-05,30,59,-0.8404474023242579,0.4073922042382919,0.04476637828050972,25,40,0.3741693736350764,0.9936490647900076,0.7132362097587159,95,10,0.5208832680390767,1.0829771454693575,0.6305353592898248,104,0.39486852024897856,0.9394984405150423,-1.4465484231605044,2.2362854636584615,0.6742683890954735,0.9394984405150423,-3.647467009378336,4.437204049876294,0.7151198572264065,2,0.6294473505561755,2.2719828198830543,20.468028662811523,3.592725596659927e-05,90.22866328287975,False,True,False,False
Dorea,-1.1400736832271048,0.19212088866874674,6.222724035573129e-08,30,59,-1.2110480885049655,0.2152378120175077,5.999515015737244e-07,25,40,0.07225287989535256,0.9656363954222529,0.9417058786037174,95,10,-0.10829386142790509,1.0069814822637562,0.9143581731654755,104,-1.1447344110625823,0.14177540681164172,-1.4226142084134001,-0.8668546137117645,6.787564818564971e-16,0.14177540681164172,-1.7547447521844735,-0.5347240699406911,0.01499470022121942,2,0.8419279867068435,0.0,1.683855973413687,0.4308789931259652,0.0,False,True,True,False
Eggerthella,-2.0016202216181016,0.2973848623863385,2.0546566433001123e-09,30,59,-2.395371922583046,0.29831299021871815,9.500843395369876e-11,25,40,-0.3701308270195762,0.7069158449110401,0.6112796401753653,95,10,-0.16986247717373992,0.7947620224662977,0.8307595874713501,104,-1.820849172191351,0.4207029279529603,-2.645426910979153,-0.9962714334035486,1.503933457338028e-05,0.5377911209991394,-4.134777606964646,0.49307926258194446,0.07725885342290134,2,1.6340908049935696,0.3573856811023253,7.013790667518582,0.029989878614578885,71.48474919187197,True,True,True,False
Eisenbergiella,-1.2935516779333809,0.21554103864650342,4.48450734971681e-08,30,59,-1.1797687038334392,0.3570010415172773,0.0015750128726955326,25,40,0.541892741524751,0.2899279950472313,0.0695599137719721,95,10,0.5711365013371164,0.32225959890098455,0.07634692624918142,104,-0.6446880838262297,0.6073445594975316,-1.8350834204413917,0.5457072527889324,0.28846884013995955,0.6073445594975316,-3.2578808106143846,1.9685046429619255,0.3997009433623153,2,0.958396864204212,1.0216002235423012,27.661675165811022,9.847898360997124e-07,92.76977989217393,False,True,True,False
Enterococcus,-3.042258935656416,0.5150011252176735,1.0503892567786768e-07,30,59,-2.431258228576307,0.604078680894077,0.00021945938640938995,25,40,-0.06632970061454202,0.8690032521490707,0.9405479596869876,95,10,0.1322315917986333,0.9183092816808893,0.8855047216438249,104,-1.9841412307691308,0.7808804254523679,-3.514666864655772,-0.45361559688248976,0.011056666447662223,0.8738561740726777,-5.7440408835047645,1.7757584219665026,0.15118190821855748,2,1.2523071069700178,1.3902089961349335,8.726226830153188,0.012738665093262989,77.08058661632464,True,True,True,False
Escherichia-Shigella,-0.36669541549358176,0.30774882861402597,0.23668562383592523,30,59,-0.8293124305140793,0.33092254784688907,0.015330737341282263,25,40,-4.181027798238119,0.6264374021100585,2.1119088541527325e-06,95,10,-4.239370009127092,0.6546176952725846,9.412334426899514e-11,104,-1.697117721579094,0.8825516680040173,-3.4269189908669677,0.0326835477087799,0.054484196040835715,1.176663570300465,-6.759892444266398,3.36565700110821,0.2859718931061421,2,1.7775602725931376,2.145501295890977,30.28570279850613,2.6518148421840997e-07,93.39622391031767,True,False,False,False
Faecalibacterium,0.3534124070372755,0.17361103174280232,0.04501492683531442,30,59,-0.3337984914888992,0.20790520136974522,0.11454376014576317,25,40,-0.5840997799469809,0.750719505749478,0.45226402526703746,95,10,-0.6030988091782503,0.8294347919478848,0.46715231255514056,104,-0.054820020716723476,0.3030019145459468,-0.6487037732267792,0.5390637317933323,0.856428001562606,0.3030019145459468,-1.3585320354409989,1.2488919940075518,0.8731023326045106,2,0.7794675650354852,0.1732763687618703,7.175493154494225,0.027660591252605237,72.1273512922615,False,True,False,False
