pseudocount,genus,omitted,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent
0.1,UCG-005,PRJEB54571_external,0.5940622371631318,0.17621406580214521,0.24868266819092716,0.9394418061353365,0.0007482704432897563,0.17621406580214521,-1.6449497603580427,2.8330742346843065,0.18357449603678802,1,0.6310880785726191,0.0,0.6310880785726191,0.4269564802636836,0.0
0.1,[Eubacterium] ruminantium group,PRJNA784025_discovery,1.3830314091752438,0.6278672571697623,0.15241158512250963,2.613651233227978,0.027612732503267696,0.6278672571697623,-6.5947785077258185,9.360841326076306,0.27130058264457646,1,1.0,0.38799880146719395,1.8312250229207574,0.17598292039755614,45.391746645913265
0.1,[Eubacterium] ruminantium group,PRJNA784025_validation,1.3843342442961095,0.6064102190818814,0.19577021489562196,2.5728982736965973,0.022440111625856914,0.6064102190818815,-6.320838153622918,9.089506642215138,0.2628434752960281,1,1.0000000000000004,0.36369459157829614,1.8065112969372725,0.1789272999086985,44.64468604788786
0.1,[Eubacterium] ruminantium group,PRJEB54571_external,1.8379616969638493,0.3252947076670721,1.200384069936388,2.4755393239913106,1.603141842904352e-08,0.3252947076670721,-2.2952994583317956,5.971222852259494,0.11151836842099355,1,0.002267443319274927,0.0,0.002267443319274927,0.9620209424921983,0.0
0.1,[Eubacterium] siraeum group,PRJNA784025_discovery,1.6600865021213138,0.722123937210372,0.24472358518898463,3.075449419053643,0.021510950108747415,0.7221239372103722,-7.515368089152109,10.835541093394736,0.2612071430680904,1,1.0000000000000004,0.5861125293858965,2.133645525860868,0.14409769171694858,53.13185869538817
0.1,[Eubacterium] siraeum group,PRJNA784025_validation,-0.13075306715058213,0.5976766995714701,-1.3021993983106634,1.0406932640094992,0.8268300833335038,0.5976766995714702,-7.724955578100699,7.463449443799535,0.8628875547205781,1,1.0000000000000002,0.34754493679094406,1.7307627167467037,0.18831352088713543,42.22200476563943
0.1,[Eubacterium] siraeum group,PRJEB54571_external,0.8300907605777396,1.3841287906040278,-1.8828016690061546,3.542983190161634,0.548692355017311,1.3841287906040278,-16.75693303442719,18.417114555582668,0.6560889931446683,1,1.0,3.614183708196539,17.58726346716224,2.7442013731242135e-05,94.31406709823202
0.1,[Eubacterium] ventriosum group,PRJNA784025_discovery,0.6135358763642982,0.20871008238626335,0.20446411488722205,1.0226076378413742,0.0032857666507617503,0.20871008238626335,-2.038377160993174,3.2654489137217704,0.20874515197036506,1,0.480356847455489,0.0,0.480356847455489,0.48826072384726216,0.0
0.1,[Eubacterium] ventriosum group,PRJNA784025_validation,1.0710361277457676,0.22679627912014463,0.6265154206702841,1.5155568348212511,2.3301008217347827e-06,0.22679627912014463,-1.8106838282157898,3.952756083707325,0.132844466968109,1,0.026185586515193444,0.0,0.026185586515193444,0.8714479092091051,0.0
0.1,[Eubacterium] ventriosum group,PRJEB54571_external,0.8106181710636405,0.24126393071687152,0.33774086685857235,1.2834954752687087,0.0007797596468940751,0.24126393071687152,-2.2549307281412974,3.876167070268578,0.1841617903771599,1,1.0,0.06599690845268946,2.304530083454436,0.12899728780897196,56.60720564337248
