"analysis_id","feature_id","platform","contrast","feature_identification","n_pairs","median_log2_difference","mean_log2_difference","paired_dz","wilcoxon_p","paired_t_p","wilcoxon_q","paired_t_q","analysis_pass","wilcoxon_q_eligible_family","paired_t_q_eligible_family","metabolite","mode","matching_mass","rt_minutes","authentic_standard","identification_tier","source","observed_mass","observed_rt_minutes","mass_error","rt_error_minutes","candidate_count","match_status","publisher_identified","promotion_eligible"
"AN001902","171.0051031_33.96449903","LCMS_RP_negative","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.19084440079233,-1.27806958018103,-0.660248128545822,0.0665457213437161,0.0664104271304073,0.312659262186349,0.286970604826286,TRUE,0.218382437649097,0.200956227550453,"glycerol 3-phosphate","ESI_negative",171.0051,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",171.0051031,0.566074983833333,0.0181281143948959,-0.0339250161666667,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001902","171.0051031_33.96449903","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.73487376895214,-1.63118487406808,-1.0450443524884,2.99954733284378e-06,7.39823815637906e-08,5.18804751978453e-05,1.51026103054359e-06,TRUE,3.32806918358382e-05,9.07257626545432e-07,"glycerol 3-phosphate","ESI_negative",171.0051,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",171.0051031,0.566074983833333,0.0181281143948959,-0.0339250161666667,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","214.0477418_34.40299896","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.84336445291901,-1.91614572128201,-0.886805554502643,3.89166724423655e-06,1.80996011479441e-06,5.35783025253033e-05,1.57572998229161e-05,TRUE,3.62703387162847e-05,1.02858708962707e-05,"glycerylphosphorylethanolamine","ESI_negative",214.0477,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",214.0477418,0.573383316,0.195283574733672,-0.0266166840000001,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","214.0477418_34.40299896","LCMS_RP_negative","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.94620481099853,-1.85844010453716,-0.728003191816014,0.0414910873877316,0.0468344655061476,0.31249904374277,0.279133910533286,TRUE,0.215778441180848,0.193418708229015,"glycerylphosphorylethanolamine","ESI_negative",214.0477,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",214.0477418,0.573383316,0.195283574733672,-0.0266166840000001,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001902","279.2317377_529.1069858","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.04544872352283,-1.05375914805614,-0.882890309934134,1.75091829453718e-05,1.95889280641065e-06,0.000132890209021283,1.65666363056443e-05,TRUE,8.32579515565637e-05,1.08671910450876e-05,"linoleic acid","ESI_negative",279.2317,8.8,TRUE,"level_1_authentic_standard","Supplementary Table S3",279.2317377,8.81844976333333,0.135013324085821,0.0184497633333311,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","279.2317377_529.1069858","LCMS_RP_negative","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.35368422893321,-0.769987971297028,-0.491134672170554,0.126278928554698,0.154816301268655,0.399770725691878,0.440631011303095,TRUE,0.30332979745613,0.337123347622398,"linoleic acid","ESI_negative",279.2317,8.8,TRUE,"level_1_authentic_standard","Supplementary Table S3",279.2317377,8.81844976333333,0.135013324085821,0.0184497633333311,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001902","283.0671613_34.37849986","LCMS_RP_negative","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-0.936575456858722,-1.10706749867716,-0.619611401341489,0.102917539402853,0.0817253712060633,0.369255656524176,0.323473053079277,TRUE,0.282115137421938,0.235086561617441,"xanthosine","ESI_negative",283.0671,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",283.0671613,0.572974997666667,0.216556427882758,-0.0270250023333334,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001902","283.0671613_34.37849986","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.50197846923369,-1.4544938040807,-0.912757395031473,6.49636755059601e-06,1.07117785176041e-06,6.6307751550911e-05,1.09334015214166e-05,TRUE,4.45192246849668e-05,6.74552539081558e-06,"xanthosine","ESI_negative",283.0671,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",283.0671613,0.572974997666667,0.216556427882758,-0.0270250023333334,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","346.0544252_37.81500075","LCMS_RP_negative","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.67769802428612,-2.27292697806422,-1.01575573681344,0.00592153702414871,0.0106230595333469,0.207077417045414,0.163663626404586,FALSE,NA,NA,"adenosine monophosphate","ESI_negative",346.0544,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",346.0544252,0.6302500125,0.0728209207531945,0.0302500125,1,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001902","346.0544252_37.81500075","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.39154569619709,-1.51547205739901,-0.890650393467163,2.99954733284378e-06,1.67469968721793e-06,5.18804751978453e-05,1.51377625198092e-05,FALSE,NA,NA,"adenosine monophosphate","ESI_negative",346.0544,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",346.0544252,0.6302500125,0.0728209207531945,0.0302500125,1,"high_confidence_mass_rt_match",TRUE,FALSE
