"sample_id","title","group","processing_plate","score","program","family"
"GSM1559772","hepatocellular carcinoma [M493_placa96_2_B07]","HCC","plate96_2",0.66873624107905,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559773","cirrhosis [M494_placa96_2_B08]","Cirrhosis","plate96_2",-0.155297581768359,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559774","hepatocellular carcinoma [M497_placa96_2_G01]","HCC","plate96_2",0.19387166954521,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559775","hepatocellular carcinoma [M499_placa96_2_B09]","HCC","plate96_2",0.935241081157146,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559776","cirrhosis [M500_placa96_2_B10]","Cirrhosis","plate96_2",-0.208880941055697,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559777","hepatocellular carcinoma [M501_placa96_2_B11_2]","HCC","plate96_2",0.260345389123876,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559778","cirrhosis [M502_placa96_2_B12]","Cirrhosis","plate96_2",-0.306579459460692,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559779","hepatocellular carcinoma [M503_placa96_2_C01]","HCC","plate96_2",0.188581282945849,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559780","cirrhosis [M504_placa96_2_C02]","Cirrhosis","plate96_2",-0.245006553452558,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559781","hepatocellular carcinoma [M505_placa96_2_C03]","HCC","plate96_2",0.581718498704077,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559782","cirrhosis [M506_placa96_2_C04]","Cirrhosis","plate96_2",-0.173748108287403,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559783","cirrhosis [M510_placa96_2_C06]","Cirrhosis","plate96_2",-0.0472984870418808,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559784","hepatocellular carcinoma [M511_placa96_2_G02]","HCC","plate96_2",0.665244836415085,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559785","hepatocellular carcinoma [M515_placa96_2_C07]","HCC","plate96_2",0.392240036283727,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559786","cirrhosis [M516_placa96_2_C08]","Cirrhosis","plate96_2",-0.0747226413305927,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559787","hepatocellular carcinoma [M517_placa96_2_G03]","HCC","plate96_2",-0.105485523446214,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559788","hepatocellular carcinoma [M519_placa96_2_C09]","HCC","plate96_2",0.0743136804722277,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559789","cirrhosis [M520_placa96_2_C10]","Cirrhosis","plate96_2",-0.125605078983197,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559790","hepatocellular carcinoma [M523_placa96_2_C11]","HCC","plate96_2",0.312872581261735,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559791","cirrhosis [M524_placa96_2_C12]","Cirrhosis","plate96_2",-0.254378891321528,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559792","hepatocellular carcinoma [M529_placa96_2_D01]","HCC","plate96_2",0.488844123445117,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559793","cirrhosis [M530_placa96_2_D02]","Cirrhosis","plate96_2",-0.231654626393249,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559794","hepatocellular carcinoma [M531_placa96_2_D03]","HCC","plate96_2",0.575124663237257,"cell_division","primary_PRJEB54571_GO_programs"
