gene,mean_logCPM_control,mean_logCPM_GCA,log2FC_GCA_vs_control,welch_t,p_welch,q_bh
MOSPD3,5.3147744529721805,5.951016941380362,0.6362424884081817,17.651745445837886,6.324509607634708e-05,0.024437892740341177
CGN,4.2797861174648935,5.516313400688769,1.2365272832238752,21.054625987957785,6.343888331159054e-05,0.024437892740341177
CCDC102A,3.4372205262255204,4.327113569710403,0.8898930434848826,19.35572826307348,6.356470116869799e-05,0.024437892740341177
ORAI1,5.8341759920908745,6.256914808004034,0.42273881591316,21.375997289392917,6.463539703465078e-05,0.024437892740341177
DEPP1,1.960386671261378,4.280631224021487,2.3202445527601094,17.486847706596308,6.555352842234936e-05,0.024437892740341177
CEP43,3.0161093478167165,2.405125680462834,-0.6109836673538824,-19.520416031231832,6.633988076782413e-05,0.024437892740341177
GRHL3,1.0245604858600055,4.826441088356006,3.8018806024960003,17.89221527544699,6.664184572274807e-05,0.024437892740341177
B3GALT6,5.173695810884069,5.975834001101738,0.8021381902176694,17.993696164866474,6.786504915209265e-05,0.024437892740341177
PODNL1,0.0517304610247051,1.5265831625581143,1.4748527015334092,17.036359551455046,6.962776180172735e-05,0.024437892740341177
CHMP4B,6.615108459903712,6.879194751007635,0.264086291103923,17.063658824120004,6.964049230148497e-05,0.024437892740341177
CD63,8.119047697087822,8.640598052006473,0.5215503549186504,24.631353739483604,7.02768787960416e-05,0.024437892740341177
FN3K,2.80144491051176,3.4854764617424263,0.6840315512306665,16.950395756359693,7.104473650588244e-05,0.024437892740341177
ARHGEF10L,5.140199264669438,6.655637110440581,1.5154378457711424,20.976504066932172,7.401859981503994e-05,0.024437892740341177
DMTN,6.7622040623198565,7.492506694238543,0.7303026319186863,27.969415832757242,7.583162586782565e-05,0.024437892740341177
SRI,6.099643677222605,5.687241456020769,-0.4124022212018357,-18.679578226972016,7.696523848602145e-05,0.024437892740341177
KLC4,3.339784473001348,4.315071653135894,0.9752871801345462,20.075840192145694,7.724343813620285e-05,0.024437892740341177
OAS1,0.21077927831283874,3.551444837311374,3.3406655589985355,17.41345978462829,8.305516826972858e-05,0.024641267546082715
SDCBP2,1.0716695002213852,2.1436441629295984,1.0719746627082132,20.214062476512556,8.378283436037299e-05,0.024641267546082715
