gene,expected_celltype,observed_celltype,n_cells,pct_detected,mean_log1p_cpm
CTSS,Myeloid,Myeloid,15947,93.98005894525616,6.523528661124766
CTSS,Myeloid,T/NK,25591,34.03931069516627,2.0238034642890677
CD79A,B,B,3685,80.43419267299863,4.980999600053063
CD79A,B,Endothelial,3644,2.607025246981339,0.12451582580471404
CD79A,B,Fibroblast,2266,1.5445719329214476,0.07768411106927163
CD79A,B,Hepatocyte,20782,2.6802040227119623,0.10771993276791199
CD79A,B,Myeloid,15947,2.4769549131498088,0.12609376196573516
CD79A,B,T/NK,25591,2.7431518893360947,0.1570353139245522
MS4A1,B,B,3685,30.936227951153324,2.0310220410761555
MS4A1,B,Endothelial,3644,1.234906695938529,0.061719163564336973
MS4A1,B,Fibroblast,2266,0.9267431597528684,0.04915677807313959
MS4A1,B,Hepatocyte,20782,0.6544124723318256,0.02718613287543507
MS4A1,B,Myeloid,15947,1.0660312284442215,0.05820498222426049
MS4A1,B,T/NK,25591,2.106209214176859,0.12533471736144733
CD37,B,B,3685,52.15739484396201,3.127725063265219
CD37,B,Endothelial,3644,11.800219538968166,0.5839798412014973
CD37,B,Fibroblast,2266,10.503089143865843,0.5131328886637274
CD37,B,Hepatocyte,20782,8.627658550668848,0.34566908777055716
CD37,B,Myeloid,15947,49.476390543675926,2.7445199377055722
CD37,B,T/NK,25591,52.24883748192723,3.2257776359023915
CD74,B,B,3685,97.58480325644506,7.548062212506548
CD74,B,Endothelial,3644,94.81339187705817,6.834961718809317
CD74,B,Fibroblast,2266,78.02294792586054,4.809139838324104
CD74,B,Hepatocyte,20782,84.8282167260129,5.064129856118213
CD74,B,Myeloid,15947,99.33529817520537,8.93065609025972
CD74,B,T/NK,25591,88.85936462037435,6.2446047915706435
PECAM1,Endothelial,B,3685,22.062415196743554,0.9933491326914903
PECAM1,Endothelial,Endothelial,3644,71.37760702524699,4.41449602306698
PECAM1,Endothelial,Fibroblast,2266,9.796999117387466,0.5117366447689514
PECAM1,Endothelial,Hepatocyte,20782,4.657877008950053,0.18387100864276884
PECAM1,Endothelial,Myeloid,15947,26.425032921552642,1.3652653393223304
PECAM1,Endothelial,T/NK,25591,6.705482396154898,0.38443545010222857
VWF,Endothelial,B,3685,1.248303934871099,0.05825437495925179
VWF,Endothelial,Endothelial,3644,45.69154774972557,2.7665166572990936
VWF,Endothelial,Fibroblast,2266,7.016769638128862,0.3547773737404971
VWF,Endothelial,Hepatocyte,20782,2.4396112020017324,0.09446621775473835
VWF,Endothelial,Myeloid,15947,3.3046968081770864,0.16588231909147927
VWF,Endothelial,T/NK,25591,1.7037239654566056,0.09574373639159342
KDR,Endothelial,B,3685,0.6512890094979646,0.03166707944412096
KDR,Endothelial,Endothelial,3644,46.73435784851811,2.6227067963090636
KDR,Endothelial,Fibroblast,2266,3.751103265666372,0.17742027699886279
KDR,Endothelial,Hepatocyte,20782,0.6688480415744393,0.02676204434215229
KDR,Endothelial,Myeloid,15947,1.0472189126481468,0.051875670690249925
KDR,Endothelial,T/NK,25591,0.769801883474659,0.04097690233894966
EMCN,Endothelial,B,3685,1.0312075983717774,0.047256586670376
EMCN,Endothelial,Endothelial,3644,61.66300768386389,3.620281728883458
EMCN,Endothelial,Fibroblast,2266,6.48720211827008,0.32970028734673235
EMCN,Endothelial,Hepatocyte,20782,1.0922914060244442,0.044007794979334394
EMCN,Endothelial,Myeloid,15947,1.7746284567630273,0.08823731401796349
EMCN,Endothelial,T/NK,25591,0.9378297057559298,0.05194954950687953
COL1A1,Fibroblast,B,3685,2.876526458616011,0.13371308507480947
COL1A1,Fibroblast,Endothelial,3644,3.9242590559824366,0.18633830336140375
COL1A1,Fibroblast,Fibroblast,2266,64.38658428949691,4.447758074491046
COL1A1,Fibroblast,Hepatocyte,20782,11.351169281108652,0.4570131060752186
COL1A1,Fibroblast,Myeloid,15947,3.8627955101272966,0.19049070164120702
COL1A1,Fibroblast,T/NK,25591,2.3133132741979603,0.11814980509056773
COL1A2,Fibroblast,B,3685,1.9810040705563094,0.08980002773578831
COL1A2,Fibroblast,Endothelial,3644,7.4643249176728865,0.3764841420247357
COL1A2,Fibroblast,Fibroblast,2266,79.4792586054722,5.418584555759105
COL1A2,Fibroblast,Hepatocyte,20782,6.19285920508132,0.23796289797024184
COL1A2,Fibroblast,Myeloid,15947,3.4614661064777077,0.17069215191299575
COL1A2,Fibroblast,T/NK,25591,1.527880895627369,0.07663957186089185
DCN,Fibroblast,B,3685,2.4423337856173677,0.11454708302456841
DCN,Fibroblast,Endothelial,3644,5.954994511525795,0.3066279974968869
DCN,Fibroblast,Fibroblast,2266,69.28508384819064,4.715208902506039
DCN,Fibroblast,Hepatocyte,20782,2.7186988740255993,0.11138582777502365
DCN,Fibroblast,Myeloid,15947,3.2106352291967144,0.15978968889897818
DCN,Fibroblast,T/NK,25591,2.395373373451604,0.13327745154705198
COL3A1,Fibroblast,B,3685,2.4423337856173677,0.10973614490939575
COL3A1,Fibroblast,Endothelial,3644,5.817782656421515,0.2974397221179312
COL3A1,Fibroblast,Fibroblast,2266,71.97705207413946,4.85616904798527
COL3A1,Fibroblast,Hepatocyte,20782,5.033201809258012,0.19780513916685347
COL3A1,Fibroblast,Myeloid,15947,3.3987583871574594,0.16764745526069663
COL3A1,Fibroblast,T/NK,25591,1.6255714899769451,0.08402446717671136
