celltype,gene,paired_n,median_difference,mean_difference,t_p,wilcoxon_p,t_q_within_celltype
Fibroblast,CYP1B1,6,0.20445066764980036,-0.13903738195481283,0.9117423485974521,0.84375,0.9117423485974521
Fibroblast,GPBAR1,6,0.4691596740198092,0.7556842318866059,0.4749566464894258,0.5625,0.6357422782441119
Fibroblast,GPCPD1,6,-0.41272299149492575,-0.541012470664331,0.29444303900777047,0.3125,0.5047594954418922
Fibroblast,IFI27,6,-0.10743460816431494,-0.38239197232801175,0.47680670868308395,0.5625,0.6357422782441119
Fibroblast,IFI6,6,0.18773701805361753,0.12292363790971494,0.7590716585979617,0.5625,0.8280781730159582
Fibroblast,IFIT1,6,0.8660309624462152,1.4175364211439205,0.09246045660170295,0.0625,0.31731184439367655
Fibroblast,IFIT2,6,0.568623814828157,1.1271279215577084,0.055696106016300116,0.03125,0.2749019031063308
Fibroblast,IFIT3,6,0.4657201747590993,0.5749203434651878,0.1189919416476287,0.15625,0.31731184439367655
Fibroblast,IRF7,6,-1.3972856688725401,-1.2562877450369963,0.05727122981381891,0.15625,0.2749019031063308
Fibroblast,ISG15,6,1.1179588823920152,0.6940752131324874,0.13690421736810302,0.15625,0.32857012168344724
Fibroblast,LPCAT1,6,-0.507218523047014,0.5621816950333738,0.6541067475651509,1.0,0.7475505686458868
Fibroblast,LPCAT2,6,-2.033860461954144,-1.3722901017728617,0.34554275646557814,0.4375,0.5183141346983672
Fibroblast,MX1,6,-1.0446663699510879,-0.8408553362351183,0.014910924061201473,0.0625,0.11928739248961179
Fibroblast,OAS1,6,0.4289927019757136,0.26545001595198564,0.6067095769204982,0.625,0.742502899552717
Fibroblast,PCNA,6,0.854197744172752,0.8773298978558924,0.008893674320724795,0.03125,0.11928739248961179
Fibroblast,PCYT1A,6,-0.25526178131954746,0.08094562594310584,0.8299991853338515,1.0,0.8660861064353235
Fibroblast,PEMT,6,0.7103737872833336,1.0661001326679074,0.0927877260825572,0.15625,0.31731184439367655
Fibroblast,SLC44A1,6,0.4324906775788171,0.257508886211601,0.6187524162939309,0.5625,0.742502899552717
