celltype,program,genes_detected,omitted_patient,retained_n,mean_difference,median_difference,paired_t_p
Fibroblast,choline_phospholipid_metabolism,7,HCC09,5,-0.08178046429855519,-0.02678816398255615,0.6396814163392164
Fibroblast,choline_phospholipid_metabolism,7,HCC10,5,0.015808666690573007,0.1392420055813086,0.9332503216999095
Fibroblast,type_i_interferon_response,11,HCC04,5,0.2929124195355154,0.3679072049692804,0.33089748567250366
Fibroblast,type_i_interferon_response,11,HCC05,5,0.19553827674640736,0.3679072049692804,0.5213036603974067
Fibroblast,type_i_interferon_response,11,HCC06,5,0.3901132837588316,0.3679072049692804,0.10344666963740971
Fibroblast,type_i_interferon_response,11,HCC08,5,0.05936185102300791,0.33618269158302255,0.7818218116199538
Fibroblast,type_i_interferon_response,11,HCC09,5,0.1891933740691558,0.33618269158302255,0.5329241421801422
Fibroblast,type_i_interferon_response,11,HCC10,5,0.18675487018214137,0.33618269158302255,0.5373778925221754
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC03,7,-0.05859646794994491,0.024445495679670637,0.8428791160652336
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC04,7,-0.03882557560268276,0.03638999917043639,0.8959342993844075
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC05,7,-0.14189472001414036,0.024445495679670637,0.5986876494639164
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC06,7,-0.1076622893279957,0.024445495679670637,0.7052554695604145
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC07,7,0.1930777337593478,0.03638999917043639,0.13795553607489466
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC08,7,-0.04315868820634165,0.024445495679670637,0.8843545906316232
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC09,7,-0.041452330564803685,0.03638999917043639,0.8889166692110798
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,HCC10,7,-0.027208480367393897,0.03638999917043639,0.9269353005935029
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC03,7,0.07116164375789577,0.15030617660420698,0.7254106307575763
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC04,7,0.2537393577487438,0.31250873840664584,0.15908505358477423
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC05,7,0.11179418803506035,0.15030617660420698,0.6062741959209017
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC06,7,0.10810553924276292,0.15030617660420698,0.6168592812062761
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC07,7,0.22075747377798546,0.31250873840664584,0.27474213133353975
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC08,7,0.1349659825782659,0.31250873840664584,0.5397924405159619
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC09,7,0.03662795545321967,0.15030617660420698,0.8387875742103297
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,HCC10,7,0.15791591405813438,0.31250873840664584,0.472897805024603
Hepatocyte,ahr_aromatic_response,3,HCC03,7,-0.10456488750136117,-0.32251159444219973,0.8255460561534638
Hepatocyte,ahr_aromatic_response,3,HCC04,7,0.0735081936472096,-0.32251159444219973,0.8558638135907167
Hepatocyte,ahr_aromatic_response,3,HCC05,7,-0.023118977219202457,-0.32251159444219973,0.9595442755917034
Hepatocyte,ahr_aromatic_response,3,HCC06,7,-0.1279992472257248,-0.33480910358697485,0.7880555703989143
Hepatocyte,ahr_aromatic_response,3,HCC07,7,-0.3316225421714266,-0.33480910358697485,0.4317877475709877
Hepatocyte,ahr_aromatic_response,3,HCC08,7,-0.04208909089164648,-0.32251159444219973,0.9273991319227928
Hepatocyte,ahr_aromatic_response,3,HCC09,7,-0.4045550902123078,-0.33480910358697485,0.2668826771874595
Hepatocyte,ahr_aromatic_response,3,HCC10,7,-0.10632167452204334,-0.33480910358697485,0.8227311615441195
Hepatocyte,choline_phospholipid_metabolism,7,HCC03,7,-0.4531740366119673,-0.43519321415495443,0.13709696293029766
Hepatocyte,choline_phospholipid_metabolism,7,HCC04,7,-0.38663523631576285,-0.43519321415495443,0.21525300854663193
Hepatocyte,choline_phospholipid_metabolism,7,HCC05,7,-0.23682137511123044,-0.2876216334850095,0.3429236205165062
Hepatocyte,choline_phospholipid_metabolism,7,HCC06,7,-0.30589730814697613,-0.2876216334850095,0.2973248335030904
Hepatocyte,choline_phospholipid_metabolism,7,HCC07,7,-0.28190559946984317,-0.2876216334850095,0.31699520126430053
Hepatocyte,choline_phospholipid_metabolism,7,HCC08,7,-0.53282348347446,-0.43519321415495443,0.04505700980429186
Hepatocyte,choline_phospholipid_metabolism,7,HCC09,7,-0.3655535819343421,-0.2876216334850095,0.23845181192289464
Hepatocyte,choline_phospholipid_metabolism,7,HCC10,7,-0.43125766663076737,-0.43519321415495443,0.16341564717437074
Hepatocyte,type_i_interferon_response,11,HCC03,7,-0.8457892577246342,-0.8119038398675226,0.0005771092503312402
Hepatocyte,type_i_interferon_response,11,HCC04,7,-0.6636770918402728,-0.6411544264506526,0.0023384254925424793
Hepatocyte,type_i_interferon_response,11,HCC05,7,-0.8003647799594243,-0.8119038398675226,0.002278683664008679
Hepatocyte,type_i_interferon_response,11,HCC06,7,-0.7315931149954406,-0.6411544264506526,0.00442844426174037
Hepatocyte,type_i_interferon_response,11,HCC07,7,-0.7763852243044299,-0.8119038398675226,0.0032859713419482353
Hepatocyte,type_i_interferon_response,11,HCC08,7,-0.6918046694142035,-0.6411544264506526,0.003812126204060847
Hepatocyte,type_i_interferon_response,11,HCC09,7,-0.74442061434323,-0.6411544264506526,0.004259405103503797
Hepatocyte,type_i_interferon_response,11,HCC10,7,-0.768813387688497,-0.8119038398675226,0.0035705708205877565
Hepatocyte,cell_cycle,7,HCC03,7,0.8361593905429648,0.965178744814426,0.07522352275607715
Hepatocyte,cell_cycle,7,HCC04,7,0.7960485541260526,0.965178744814426,0.07719333732453698
Hepatocyte,cell_cycle,7,HCC05,7,1.1816428214131371,1.4501748205119935,0.00501790722682002
